Symbol,YahooSymbol,Name,Exchange,Series
BALRAMCHIN,BALRAMCHIN.NS,BALRAMCHIN,NSE,EQ
BALUFORGE,BALUFORGE.NS,BALUFORGE,NSE,EQ
BANARBEADS,BANARBEADS.NS,BANARBEADS,NSE,EQ
BANARISUG,BANARISUG.NS,BANARISUG,NSE,EQ
BANCOINDIA,BANCOINDIA.NS,BANCOINDIA,NSE,EQ
BANDHANBNK,BANDHANBNK.NS,BANDHANBNK,NSE,EQ
BANG,BANG.NS,BANG,NSE,EQ
BANK10ADD,BANK10ADD.NS,BANK10ADD,NSE,EQ
BANKA,BANKA.NS,BANKA,NSE,EQ
BANKADD,BANKADD.NS,BANKADD,NSE,EQ
BANKBARODA,BANKBARODA.NS,BANKBARODA,NSE,EQ
BANKBEES,BANKBEES.NS,BANKBEES,NSE,EQ
BANKBETA,BANKBETA.NS,BANKBETA,NSE,EQ
BANKBETF,BANKBETF.NS,BANKBETF,NSE,EQ
BANKETF,BANKETF.NS,BANKETF,NSE,EQ
BANKIETF,BANKIETF.NS,BANKIETF,NSE,EQ
BANKINDIA,BANKINDIA.NS,BANKINDIA,NSE,EQ
BANKNIFTY1,BANKNIFTY1.NS,BANKNIFTY1,NSE,EQ
BANKPSU,BANKPSU.NS,BANKPSU,NSE,EQ
BANSALWIRE,BANSALWIRE.NS,BANSALWIRE,NSE,EQ
BANSWRAS,BANSWRAS.NS,BANSWRAS,NSE,EQ
BASF,BASF.NS,BASF,NSE,EQ
BASML,BASML.NS,BASML,NSE,EQ
BATAINDIA,BATAINDIA.NS,BATAINDIA,NSE,EQ
BAYERCROP,BAYERCROP.NS,BAYERCROP,NSE,EQ
BBETF0432,BBETF0432.NS,BBETF0432,NSE,EQ
BBL,BBL.NS,BBL,NSE,EQ
BBNPNBETF,BBNPNBETF.NS,BBNPNBETF,NSE,EQ
BBNPPGOLD,BBNPPGOLD.NS,BBNPPGOLD,NSE,EQ
BBOX,BBOX.NS,BBOX,NSE,EQ
BBTC,BBTC.NS,BBTC,NSE,EQ
BBTCL,BBTCL.NS,BBTCL,NSE,EQ
BCLIND,BCLIND.NS,BCLIND,NSE,EQ
BCONCEPTS,BCONCEPTS.NS,BCONCEPTS,NSE,EQ
BCPL,BCPL.NS,BCPL,NSE,EQ
BDL,BDL.NS,BDL,NSE,EQ
BEARDSELL,BEARDSELL.NS,BEARDSELL,NSE,EQ
BECTORFOOD,BECTORFOOD.NS,BECTORFOOD,NSE,EQ
BEL,BEL.NS,BEL,NSE,EQ
BELLACASA,BELLACASA.NS,BELLACASA,NSE,EQ
BELRISE,BELRISE.NS,BELRISE,NSE,EQ
BEML,BEML.NS,BEML,NSE,EQ
BEPL,BEPL.NS,BEPL,NSE,EQ
BERGEPAINT,BERGEPAINT.NS,BERGEPAINT,NSE,EQ
BETA,BETA.NS,BETA,NSE,EQ
BFINVEST,BFINVEST.NS,BFINVEST,NSE,EQ
BFSI,BFSI.NS,BFSI,NSE,EQ
BHAGCHEM,BHAGCHEM.NS,BHAGCHEM,NSE,EQ
BHAGERIA,BHAGERIA.NS,BHAGERIA,NSE,EQ
BHAGYANGR,BHAGYANGR.NS,BHAGYANGR,NSE,EQ
BHANDARI,BHANDARI.NS,BHANDARI,NSE,EQ
BHARATCOAL,BHARATCOAL.NS,BHARATCOAL,NSE,EQ
BHARATFORG,BHARATFORG.NS,BHARATFORG,NSE,EQ
BHARATGEAR,BHARATGEAR.NS,BHARATGEAR,NSE,EQ
BHARATRAS,BHARATRAS.NS,BHARATRAS,NSE,EQ
BHARATSE,BHARATSE.NS,BHARATSE,NSE,EQ
BHARATWIRE,BHARATWIRE.NS,BHARATWIRE,NSE,EQ
BHARTIARTL,BHARTIARTL.NS,BHARTIARTL,NSE,EQ
BHARTIHEXA,BHARTIHEXA.NS,BHARTIHEXA,NSE,EQ
BHEL,BHEL.NS,BHEL,NSE,EQ
BIGBLOC,BIGBLOC.NS,BIGBLOC,NSE,EQ
BIKAJI,BIKAJI.NS,BIKAJI,NSE,EQ
BIL,BIL.NS,BIL,NSE,EQ
BIOCON,BIOCON.NS,BIOCON,NSE,EQ
BIOFILCHEM,BIOFILCHEM.NS,BIOFILCHEM,NSE,EQ
BIRLACABLE,BIRLACABLE.NS,BIRLACABLE,NSE,EQ
BIRLACORPN,BIRLACORPN.NS,BIRLACORPN,NSE,EQ
BIRLAMONEY,BIRLAMONEY.NS,BIRLAMONEY,NSE,EQ
BIRLANU,BIRLANU.NS,BIRLANU,NSE,EQ
BLACKBUCK,BLACKBUCK.NS,BLACKBUCK,NSE,EQ
BLAL,BLAL.NS,BLAL,NSE,EQ
BLISSGVS,BLISSGVS.NS,BLISSGVS,NSE,EQ
BLKASHYAP,BLKASHYAP.NS,BLKASHYAP,NSE,EQ
BLS,BLS.NS,BLS,NSE,EQ
BLSE,BLSE.NS,BLSE,NSE,EQ
BLUECOAST,BLUECOAST.NS,BLUECOAST,NSE,EQ
BLUEDART,BLUEDART.NS,BLUEDART,NSE,EQ
BLUEJET,BLUEJET.NS,BLUEJET,NSE,EQ
